Timestamp WorkflowId PeakValueRss0 PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize0 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU0 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime0 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1790370000.0 109.0 NA 162 202 410 NA NA NA NA NA NA NA 243 488 547 NA NA NA NA NA NA NA 20816 213 877 NA NA NA NA NA NA NA 11342 175 855 NA NA NA NA NA NA 
1790370000.0 11.0 NA 136 189 376 0 124 NA NA NA NA NA 234 487 518 0 194 NA NA NA NA NA 8929 221 710 217 188 NA NA NA NA NA 3063 159 719 287 211 NA NA NA NA 
1790370000.0 110.0 NA 124 191 387 NA NA NA NA NA NA NA 173 511 520 NA NA NA NA NA NA NA 1991 287 830 NA NA NA NA NA NA NA 841 246 726 NA NA NA NA NA NA 
1790370000.0 1102.0 NA 166 201 407 216 208 NA NA NA NA NA 244 402 553 375 245 NA NA NA NA NA 25819 301 1036 379 68 NA NA NA NA NA 11365 204 757 348 81 NA NA NA NA 
1790370000.0 111.0 NA 138 195 389 NA NA NA NA NA NA NA 210 500 541 NA NA NA NA NA NA NA 3702 169 719 NA NA NA NA NA NA NA 2560 199 727 NA NA NA NA NA NA 
1790370000.0 112.0 NA 142 202 396 NA NA NA NA NA NA NA 243 505 535 NA NA NA NA NA NA NA 17091 214 715 NA NA NA NA NA NA NA 6693 195 770 NA NA NA NA NA NA 
1790370000.0 11224.0 NA 140 275 528 0 NA NA NA NA NA NA 199 565 741 0 NA NA NA NA NA NA 21757 291 1201 251 NA NA NA NA NA NA 11241 178 929 376 NA NA NA NA NA 
1790370000.0 11224.6 NA 143 276 525 0 NA NA NA NA NA NA 197 564 733 0 NA NA NA NA NA NA 31436 271 1437 281 NA NA NA NA NA NA 12370 200 1138 309 NA NA NA NA NA 
1790370000.0 115.0 NA 162 201 397 NA NA NA NA NA NA NA 243 505 530 NA NA NA NA NA NA NA 18441 216 724 NA NA NA NA NA NA NA 6800 187 743 NA NA NA NA NA NA 
1790370000.0 116.0 NA 163 198 398 NA NA NA NA NA NA NA 234 469 538 NA NA NA NA NA NA NA 17298 215 747 NA NA NA NA NA NA NA 6784 213 861 NA NA NA NA NA NA 
1790370000.0 11601.0 NA 127 310 538 0 153 NA NA NA NA NA 170 620 753 0 228 NA NA NA NA NA 2522 267 1093 211 228 NA NA NA NA NA 996 147 949 232 225 NA NA NA NA 
1790370000.0 11603.0 NA 149 316 563 0 160 NA NA NA NA NA 282 617 781 0 227 NA NA NA NA NA 76748 250 1154 187 205 NA NA NA NA NA 46918 140 791 200 201 NA NA NA NA 
1790370000.0 11604.0 NA 127 311 553 0 154 NA NA NA NA NA 169 605 787 0 235 NA NA NA NA NA 1970 288 1178 200 231 NA NA NA NA NA 951 171 814 213 268 NA NA NA NA 
1790370000.0 11606.0 NA 125 312 537 0 154 NA NA NA NA NA 168 614 781 0 228 NA NA NA NA NA 576 376 1400 270 289 NA NA NA NA NA 986 329 1370 402 399 NA NA NA NA 
1790370000.0 11607.0 NA 132 320 559 0 189 NA NA NA NA NA 172 605 758 0 305 NA NA NA NA NA 494 291 1242 235 272 NA NA NA NA NA 783 272 1573 397 471 NA NA NA NA 
1790370000.0 11608.0 NA 130 322 563 0 191 NA NA NA NA NA 171 590 795 0 298 NA NA NA NA NA 459 287 1196 271 302 NA NA NA NA NA 817 262 1468 452 453 NA NA NA NA 
1790370000.0 11609.0 NA 128 310 547 0 185 NA NA NA NA NA 170 621 754 0 297 NA NA NA NA NA 897 358 1392 272 266 NA NA NA NA NA 1163 295 1325 425 392 NA NA NA NA 
